Title,Meaning,Context,Notes
ACIO,Associate Chief Information Officer,,
ACL,Access Control List,,
ACL,Audit Command Language,,
ACLS,Advanced Cardiac Life Support,,
ACM,Audit Compliance Module,,
ACMD,Assistant Chief Medical Director,,
ACMIS,Acquisition Career Management Information System,,
ACNS,Associate Chief Nursing Service,,
ACOA,Adult Children of Alcoholics,,
ACO,Administrative Contracting Officer,,
ACOE,Accreditation Council on Optometric Education,,
ACOE,Agile Center of Excellence,,
ACOM,Associate Chief of Medicine,,
ACOS,American College of Surgeons,,
ACOS,Associate Chief of Staff,,
ACOS/E,Associate Chief of Staff for Education,,
ACOS/EC,Associate Chief of Staff for Extended Care,,
ACOVE,Assessing Care Of Vulnerable Elders,,
ACP,American College of Physicians,,
ACPE,American Council for Pharmaceutical Education,,
ACR,American College of Radiology,,
ACRB,Architectural Change and Review Board,,
ACRE,"A measure of land 43,560 sq. ft.",,
ACRE,Artifact Central Repository,,
ACRP,Ambulatory Care Reporting Program,,
ACRS,Accelerated Cost Recovery System,,
ACS,Access Services,,
ACS,Acute Coronary Syndrome,,
ACT,Acceptance and Commitment Therapy,,
ACTS,AHRQ evidence-based Care Transformation Support,,
ACWP,Actual Cost for Work Performed,,
ADAAA,Americans with Disabilities Act Amendment Act,,
ADAAG,Americans with Disabilities Act Accessibility Guidelines,,
ADA,American Diabetes Association,,
ADA,Antideficiency Act,,
ADA,Associate Deputy Administrator,,
AD,Active Directory,,
ADAD,After Date of Award Document,,
AD,Advanced Directive,,
A/D,Alcohol and Drug,,
ADAPT,Ambulatory Detoxification and Preparation for Treatment,,
ADAS,Associate Deputy Assistant Secretary,,
AD,Assistant Director,,
ADC,Active Dual Consumer,,
ADC,Alzheimer's Disease Center,,
ADC,Application Development Competency,,
ADC,Average Daily Census,,
ADC,Average Days to Complete,,
ADCC,Alzheimer's Disease Core Center,,
ADCIO,Assistant Deputy Chief Information Officer,,
ADCMD,Associate Deputy Chief Medical Director,,
ADDM,Atrium Discovery & Dependency Mapping,,
ADDP,Assistant Director Development Program,,
ADE,Adverse Drug Event,,
ADERS,Adverse Drug Event Reporting System,,
ADF,Azure Data Factory,,
ADFS,Active Directory Federated Services,,
ADHC,Adult Day Health Care,,
ADHF,Acute decompensated heart failure,,
ADI,Awaiting Development initiation,,
ADL,Activities of Daily Living,,
ADL,Automated Decision Letter,,
ADLS,Azure Data Lake Storage,,
ADM,Acquisition Decision Memorandum,,
ADPAC,Automated Data Processing Application Coordinator,,
ADP,Automatic Data Processing,,
ADP,Average Days Pending,,
ADPSO,Automated Data Processing Security Officer,,
ADRADA,Alzheimer's Disease and Related Disorders Association,,
ADR,Additional Development Review,,
ADR,Administrative Data Repository,,
ADR,Adverse Drug Event,,
ADR,Adverse Drug Reaction,,
ADR,Alternative Dispute Resolution,,
ADR,Average Daily Rate,,
ADS,Authoritative Data Source,,
ADS,Average Daily Salary,,
ADSM,Active Duty Service Member,,
ADT,Admission/Discharge/Transfer,,
ADT,Automated Data Transfer,,
ADT/R,"Admissions, Discharge, Transfer/Registration",,
ADUSH,VHA Assistant Deputy Under Secretary for Health (ADUSH),,
AE,Application Entity,,
A/E,Architect/Engineer,,
AECGIS,Automated Electrocardiographic Interpretive Systems,,
AECO,A/E Change Order,,
AED,Anti-Epileptic Drug,,
AED,Automated External Defibrillator,,
AEIC,Advanced Earned Income Credit,,
AEM,Area Emergency Manager,,
AEMAS,Affirmative Employment Monitoring and Analysis System,,
AEMS/MERS,Automated Engineering Management System/Medical Equipment Reporting,,
AEPS,Affiliated Education Programs Service,,
AERB,Architecture Engineering Review Board,,
AES,Advanced Encryption Standard,,
AES,Aeromedical Evacuation Squadron,,
AES,All Employee Survey,,
AES,American Epilepsy Society,,
AES,Architecture and Engineering Services,,Maintainers for VASI and TRM
AEU,Affected End User,,
AEW,Audit Error Worksheet,,
AFB,Allocated Functional Baseline,,
AFC,Austin Finance Center,,
AFCEA,Armed Forces Communications and Electronics Association,,
AFEB,Armed Forces Epidemiological Board,,
AFGE,American Federation of Government Employees,,
AFGE-NVAC,American Federation of Government Employees-National Veterans Affairs Council,,
AFHCAN,Alaska Federal Health Care Access Network,,
AFHCP,Alaska Federal Healthcare Partnership,,
AFHRA,Air Force Historical Research Agency,,
AFIB,Atrial Fibrillation,,
AFIP,Armed Forces Institute of Pathology,,
AFMA,Automated Fabrication of Mobility Acts,,
AFNOC,Air Force Network Operation Center,,
AFO,Ankle-Foot Orthosis,,
AFPS,Automated Folder Processing System,,
AFRRI,Armed Forces Radiobiology Research Institute,,
AF/SG,Air Force Surgeon General,,
AFSN,Air Force Systems Network,,
AFVSS,"Afebrile, vital signs stable",,
AGC,Associated General Contractors of America,,
AGE,Acute Gastroenteritis,,
AGI,Adjusted Gross Income,,
AGO,Agent Orange,,
AGS,Adjacent Gravesite Set-Aside,,
AHA,American Hospital Association,,
A/H,Auditory Hallucinations,,
AHCPR,Agency for Health Care Policy & Research (see AHRQ),,
AHE,Associated Health Education,,
AHERA,Asbestos Hazard Emergency Response Act,,
AHHA,American Holistic Health Association,,
AHIC,American Health Information Community (Now NeHC),,
AHIMA,American Health Information Management Association,,
AHIP,America's Health Insurance Plans,,
AHIS,Automated Hospital Information System,,
AHJ,Authority Having Jurisdiction,,
AHL,Alternate Hearing Location,,
AHLTA,Armed Forces Health Longitudinal Technology Application,DoD electronic medical record system, also known as EMR
AHPA,American Health Planning Association,,
AHRQ,Agency for Healthcare Research and Quality (formerly AHCPR),,
AHSE,American Society for Health Care Engineering,,
AHTLA,AHLTA - Armed Forces Health Longitudinal Technology,,
AH/VH,Auditory Hallucinations/Visual Hallucinations,,
AIA,American Institute of Architects,,
AI,Artificial Intelligence,,
AIB,Administrative Investigation Board,,
AIBS,American Institute for Biological Sciences,,
AIC,Ambulatory Infusion Center,,
AIC,Architecture and Infrastructure Committee,,
AIC,Automated Information Center,,
AICC,Aviation Industry Computer-Based Training Committee,,
AICD,Automated Implantable Cardiovascular Defibrillator,,
AICPA,American Institute of Certified Public Accountants,,
AICS,Automated Information Collection Systems,,
AICUZ,Airport Clear Zones and Accident Potential Zones,,
AID,Applied Informatics Deployment,,
AIDE,Agile Integrated Development Environment,,
AIDS,Acquired Immune Deficiency Syndrome,,
AIFPS,Automated Insurance Folder Processing System,,
AIM,Applied Informatics Management,,
AIS,Automated Information System,,
AITBMR,Annual Information Technology Budget and Management Report,,
AITC,Austin Information Technology Center,,
AJCC,American Joint Commission on Cancer,,
AJN,American Journal of Nursing,,
AKA,Above the Knee Amputation,,
AKA,Also Known As,,
AKC,Artificial Kidney Center,,
AKI,Acute Kidney Injury,,
ALA,American Legion Auxiliary,,
ALAC,Administrative and Loan Accounting,,
AL,American Legion,,
AL,Annual Leave,,
ALARA,As Low As Reasonably Achievable,,
AL,Assisted Living,,
ALB,Account Level Budgeter,,
ALBCC,Account Level Budget Cost Center,,
ALC,Agency Location Code,,
ALCON,All Concerned,,
ALEX,Advance Library Exchange,,
ALF,Assisted Living Facility,,
ALJ,Administrative Law Judge,,
ALOC,Altered Level Of Consciousness,,
ALOS,Average Length of Stay,,
ALS,Amyotrophic Lateral Sclerosis,,
ALTA,American Land Title Transfer,,
AMA CPT,American Medical Association Current Procedural Terminology,,
AMA,Against Medical Advice,,
AMA,American Medical Association,,
AMA,Appeals Modernization Act,,
AMAS,Automated Management Application System,,
AMAS,Automated Monument Application System,,
AMB SURG,Ambulatory Surgery,,
AMB,Ambulance,,
AMC,Appeals Management Center,,
AMEDD,Army Medical Department,,
AMIA,American Medical Informatics Association,,
AMI,Acute Myocardial Infarction,,
AMIE,Automated Medical Information Exchange,,
AMIS,Automated Management Information System,,
A&MM,Acquisition and Material Management,,
AMMS,Acquisition and Material Management Services,,
A&MMS,Acquisitions and Materials Management Services,,
AMO,Account Management Office,OIT,
AMO,Appeals Management Office,,
AMOD,Admitting Officer of the Day,,
AMPL,Advanced Medication Platform,,Enhancements to the capabilities of VistA Pharmacy package through the Advanced Medication Platform (AMPL) Pharmacy Graphic User Interface (GUI) to provide pharmacists with a single point of access to patients' medical data in a clearer and more user friendly display
AMR,Automated Maintenance Reporting,,
AMSA,Advanced Medical Support Assistant,,
AMS,Accu-Med Services,,
AMS,Altered Mental Status,,
AMS,Asset Management Service,,
AMS,Automated Methadone System,,
AMSUS,Association of Military Surgeons of the United States,,
AMT,Amount,,
AMVAD,Automated Masterfile of VA Directives,,
AMVETS,"American Veterans of World War II, Korea and Vietnam",,
ANA,American Nurses Association,,
AnaaS,Analytics as a Service,,
ANACE,American Nursing Association Code of Ethics,,
ANCC,American Nurses Credentialing Center,,
ANEQIP,Anesthesia Quality Improvement Program,,
ANG,Air National Guard,,
Annie,Annie for Veterans app <https://mobile.va.gov/app/annie-app-veterans>,,
ANOVA,Analysis of Variance,,
ANR,Automated Notification Reporting,,
ANSI,American National Standards Institute,,
ANT,Another Neat Tool,,
AOA,American Osteopathic Association,,
AOA,Analysis of Alternatives,,
AO,Administrative Officer,,
A/O,Administrative Offices,,
AO,Agent Orange,,
AO,Authorizing Official,,
AOC,Alteration Of Consciousness,,
AOCC,Annual Oversight Compliance Certificate,,
AOD,Administrative Officer of the Day,,
AOD,Administrator On Duty,,
AOD,Advanced on Docket,appeals,
AODL,Accounting of Disclosure Log,,
AONE,American Organization of Nurse Executives,,
A/OPC,Agency/Organization Program Coordinator,,
AOPO,Agent Orange Projects Office,,
AOR,Agent Orange Registry,,
AOR,Area Of Responsibility,,
AOSB,Authorizing Official System Brief,The Authorizing Official is a federal senior management official with budget and oversight authorities within the organization who assumes the responsibility for an information system and is held accountable for ensuring the information system is operating at an acceptable level of risk. The AOSB is a summary of the IS for consumption by the AO.,
AOTA,American Occupational Therapy Association,,
AOU,Area of Use,,
AOWG,Agent Orange Working Group (White House),,
APA,American Psychological Association,,
AP,Anatomic Pathology,,
AP,Ankle Pumps,,
AP,Apical Pulse,,
A&PC,Ambulatory and Primary Care,,
APEC,Asian Pacific Economic Cooperative,,
APEO,Associate Deputy Program Executive Officer,,
APF,Advance Planning Fund,,
APG,Agency Priority Goal,,
API,Application Programming Interface,,
APM,Application Performance Management,,
APM,Application Performance Monitoring,,
APMF,Acquisition Program Management Framework,,
APN,Advance Practice Nurse,,
APO,Area Processing Office,,
APO,Army Post Office,,
APOC,Administrative Point of Contact,,
APP,Advanced Practice Professional,,
APP,Alternating Pressure Pad,,
APP,Application Portability Profile,,
APPS,Advanced Practice ProfessionalS,,
APPT.,Appointment,,
APRD,Accounting Policy & Reporting Division,,
APTA,American Physical Therapy Association,,
APW,Architecture Planning Workgroup,,
AQRS,Authorization Quality Review Specialist,,
ARA,Automated Risk Assessment,,
A/R,Accounts Receivable,,
AR,Accounts Receivable,,
ARAMIS,American Rheumatology Associates Medical Information System,,
AR,Architecture Requirements,,
ARB,Accident Review Board,,
ARB,Architecture Review Board,,
ARCA,Aggregated Root Cause Analysis,,
ARC,Adult Rehabilitation Center,,
ARC,Allocation Resource Center,,
ARC,American Red Cross,,
ARC,Amputation Rehabilitation Coordinator,,
ARCH,Access Received Closer to Home,,
ARF,Acute Renal Failure,,
ARF,Animal Research Facilities,,
ARG,Application Requirements Group,,
ARIWG,Architecture Requirements and Investment Working Group,,
ARK,Anesthesia Record Keeper,,
ARMA,Association of Records Managers and Administrators,,
ARM,Adjustable Rate Mortgage Loan,,
ARM,Automated Reference Manual,,
ARNG,Army National Guard,,
ARNP,Advanced Registered Nurse Practitioner,,
ARO,After Receipt of Order,,
ARPA,Automated Request for Personnel Action,,
ARRA,American Recovery and Reinvestment Act,,
ARRT,American Registry of Radiologic Technologists,,
ARS,Automated Response System,,
ART,Adverse Reaction Tracking,,
ARTS,Adverse Reaction Tracking System,,
ARU,Alcohol Rehabilitation Unit,,
AR/WS,Automatic Replenishment/Ward Stock,,
AS I&T,Assistant Secretary for Information & Technology,,
ASA,Aspirin aka acetylsalicylic acid,,
ASAF,Automated System Access Forms,,
ASAM,American Society of Addiction Medicine,,
AS,Application Server,,
ASB,Ambulatory Surgery Basic,,
ASC X12,Accredited Standards Committee X12,,
ASC,Additional Service Code,,
ASCD,Automated Service Connection Designation,,
ASCII,American Standard Code for Information Interchange,,
ASCIP,Academy of Spinal Cord Injury Professionals,,
AsCMD,Associate Chief Medical Director,,
ASCP,American Society for Clinical Pathology,,
ASCVD,Atherosclerotic Cardiovascular Disease,,
ASD,"Architecture, Strategy, and Design",,
ASD/HA,Assistant Secretary of Defense for Health Affairs,,
ASDP,American Society of Dermatopathology,,
ASE,Application Security Engine,,
AS-F,Acquisition Service - Frederick,,
ASHRM,American Society for Healthcare Risk Management,,
ASIA,American Spinal Injury Association,,
ASIH,Absent Sick In Hospital,,
ASIM,Automated Security Incident Measurement,,
ASIS,Application Structure and Integration Support,,
ASISTS,Automated Safety Incident Surveillance and Tracking System,,
AS/IT,Assistant Secretary for Office of Information and Technology,,
ASLM,Application Service Line Manager,,
ASN.1,Abstract Syntax Notation One,,
ASOC,Amputee System of Care,,
ASP,Accrued Services Payable,,
ASP,Active Server Pages,,
ASP,Antimicrobial Stewardship Program,,
ASP,Application Service Provider,,
ASPEN,Access Standardized Performance Elements Nationwide,,
ASPEN,"Advanced Sites, Planning, and Engineering Network",,
ASPEN,Automated Standardized Performance Elements Nationwide,claims processing,
ASSESS,Application Self-Scoring Evaluation Support System,,
ASSIST,Automated Safety Incident Surveillance System,,
ASTM,American Society for Testing and Materials,,
ASU,Authorization Subscription Utility,,
ASVAB,Armed Service Vocational Aptitude Battery,,
ASW,Architect Solution Worksheet,,
ATA,Advanced Technology Attachment,,
AT,Addiction Therapist,,
AT,Assistive Technology,,
ATC,Attempt(ed) To Contact,,
ATC,Access To Care,,VA Facilities satisfaction information
ATIC,Advanced Technology Integration Center,,
ATM,Asynchronous Transfer Mode,,
ATO,Authority to Operate,,
ATOC,Authority To Operate with Conditions,,
ATOMS,Acquisition Task Order Management System,,
ATP,Acquisition Training Program,,
ATRA,American Therapeutic Recreation Association,,
ATS,Addiction Treatment Services,,
ATS,Artificial Tears,,
ATSD,Authority To Transmit Sensitive Data,,
AUD,Alcohol Use Disorder,,
AVA,Anthrax Vaccine Absorbed,,
AVA,Ask VA,"Ask VA (AVA) is an online portal that allows veterans, caregivers, and supporting personnel in education, debt, loans, etc. to submit questions to VA and receive a secure message response.","also known as: AVA, Ask VA, and Ask AVA"
AVANTI,Alpha VistA NT Implementation,,
AV,Architecture View,,
AV,Atrioventricular,,
AVH,Audio Visual Hallucinations,,
AVHE,Application Virtualization and Hosting Environment,,
AVIVA,A Virtual Installation of VistA Architecture,,
AVLJ,Acting Veterans Law Judge,,
AVO,Appraised Value Offer,,
AVS,After Visit Summary ,,
AWCTS,Army Warrior Care & Transition System,,
AWE,Annual Workplace Evaluation,,
AWIV,Advanced Web Image Viewer,,
AWOL,Absent Without Leave,,
AWS,Alternate Work Schedule,,
AWS,Amazon Web Services (see VAEC),,
AX,Artifact Exchange,,
BAA,Business Associate Agreement(s),,
B/A,Basic Agreement,,
BABOK,Business Analysis Body of Knowledge,,
BA,Business Architecture,,
BAC,Budget At Completion,,
BAFO,Best of Final Order,,
BAH,Basic Allowance for Housing,,
BAH,Booz Allen Hamilton,,
BAM,Benefits Appeals Memorials,Portfolio,
BAS,Benefits Assistance Service,,
BBB,Bundle Branch Block,,
B,Bilateral or Both,,
BBM,Blood Bank Modernization,,
BBS,Bulletin Board System,,
BCA,Board of Contract Appeals,,
BCA,Business Continuity Plan,,
BCAG,Business Community Advisory Group,,
BC,Blood Culture,,
BCBS,Blue Cross Blue Shield,,
BC,Business Continuity,,
BCC,Board Certified Chaplain,,
BCE,Bar Code Expansion,,
BCE-PPI,Bar Code Enhancement - Positive Patient Identification,,
BCL,Bar Code Letter,,
BCMA,Bar Code Medication Administration,,
BCMB,Business Capability Management Board,,
BCMR,Board of Correction of Military Records,,
BCNR,Board of Correction Naval Records,,
BCP,Business Continuity Planning,,
BCR,Baseline Change Request,,
BCR,Breast Care Registry,,
BCRO,Bar Code Resource Office,,
BCS,Business Case Study,,
BCVA,Best Corrected Visual Acuity,,
BCWP,Budgeted Cost for Work Performed,,
BCWS,Budgeted Cost for Work Scheduled,,
B&D,"Birch and Davis Associates, Inc.",,
BDC,Benefits Delivery Center,,
BDC,Boston Development Center,,
BDD,Benefits Delivery at Discharge,,
BDI,Biological Defense Initiative,,
BDL,Borderline,,
BDN,Benefits Delivery Network,VBA,
BDOC,Bed Days of Care,,
BEC,Benefits Executive Council,,
BEDB,Basic Employee Death Benefit,,
BENS,Business Event Notification Service,,
BEP,Benefits Enterprise Platform,,Benefits Enterprise Platform (BEP) is a unified service provider of Corporate Database (CRP) benefits data and underlying business logic to Veterans Benefits Management System (VBMS) and other critical Veterans Benefits Administration (VBA) systems
BESS,Biomedical Engineering Support Specialist,,
BEST,Business Enterprise Solutions and Technologies,,
BFA,Battlefield Acupuncture,,
BFELOB,Budget Formulation and Execution Line of Business,,
BFF,Business Function Framework,,
BFFS,Beneficiary Fiduciary Field System,,
BG,Blood Glucose,,
BGM,Blood Glucose Monitor,,
BGS,Benefits Gateway Services,,how you access BIRLS and other things
BHAP,Behavior Health Autopsy Program,,
BH,Behavioral Health,,
BHCG,Blood pregnancy test,,
BHIE,Bidirectional Health Information Exchange (Formerly DSI),,
BHIP,Behavioral Health Interdisciplinary Program,,
BHL,Behavioral Health Laboratory,VHA,
BIA,Business Impact Analysis,,
BIBA,"Brought in by ambulance, denotes how pt arrived to ER",,
BI,Background Investigation,,
BICP,BIRLS ICP Update,,
BID,Benefits Integrated Delivery,VBA,
BID,Twice Daily (bis in die),,
BIH,Benefits Innovation Hub,VBA,The BIH is a self-service portal that supports provisioning of cluster and cloud services
BIM,Business Implementation Manager,,
BIN,Banking Identification Number,,
BINCA,Business Intelligence – National Cemetery Administration,NCA,
BINQ,BIRLS Inquiry,,
BIOS,Business Integration & Outcomes Service,OIT,
BIPAP,Bilevel positive airway pressure,,
BIP,Benefits Integration Platform,VBA,
BIRLS,Beneficiary Identification and Records Locator (Sub)System,,
BISL,Business Intelligence Service Line,,
BJP,Business Justification Package,,
BKA,Below Knee Amputation,,
B/L,Bilateral,,
BLIT,Business Led IT,,
BLOB,Binary Large Object,,
BLS,Basic Life Support,,
BLUF,Bottom Line Up Front,,
BM,Bowel movement,,
BME,Biomedical Engineering,,
BMI,Body Mass Index,,
BMP,Basic Metabolic Panel,,
BMS,Bed Management Solution,,
BMS,Bed Management System,,
BMT,Bone Marrow Transplantation,,
BMW,Bedside Mobile Workstation,,
BNIB,Business Needs and Investment Board,,
BNI,Business Needs and Investment,,
BNP,B-type natriuretic peptide,,
BNS,Business Needs Statement,,
BOA,Basic Ordering Agreement,,
BOA,Board of Appeals,,VBA VHS NCA and OJC all deal with appeals so not under VBA
BOC,Budget Object Code,,
BOC,Business Operations Committee,,
BOM,Bill of Materials,,
BOP,Budget Operating Plan,,
BOP,Bureau of Prisons,,
BOSS,Burial Operations Support System,,
BPA,Blanket Purchase Agreement,,
BP,Background Processor,,
B&P,Bid and Proposal,,
BP,Blood Pressure,,
BPC,Budget Policy Consultant,,
BPE,Business Partner Extranet,,
BPG,Business Partner Gateway,,
BPG,Business Process Group,,
BPH,Benign prostatic hyperplasia,,
BPIC,Business Performance Improvement Committee,,
BPMN,Business Process Model and Notation,,
BPRA,Business Process Re-engineering and Analysis,,
BPR,Business Process Re-engineering,,
BPRC,Budget Planning Review Council,,
BPSD,Benefits Product Support Division,,
BQ,Best Qualified,,
B/R,Bathroom,,
BR,Bathroom,,
BRBPR,Bright Red Blood Per Rectum,,
BRC,Blind Rehabilitation Centers,,
BRCD,Business Requirements Change Document,,
BRD,Business Requirements Document,,
BRECC,Baltimore VA Rehabilitation and Extended Care Center (BRECC),,
BREP,Business Requirements Engineering Process,,
BRH,Bureau of Radiological Health,,
BRIDG,Biomedical Research Integrated Domain Group,,
Briefface,"A folder or piece of paper attached to a claims folder, used to track the status of an appeal as it traveled through the board",,
BRM,Business Reference Model,,
BRM,Business Relationship Meeting,,
BRMO,Business Relationship Management Office,,
BRO,Behavioral Recovery Outreach,,
BROS,Blind Rehabilitation Outpatient Specialists,,
BRP,Business Process Re-Engineering,,
BRS,Blind Rehabilitation Specialist,,
BRS,Breath Sounds,,
BRSV5,Blind Rehabilitation Service Version 5,,
BSAD,Baseline System Architecture Document,,
B/S,Benefits/Services,,
BS,Business Sponsor,,
BSC,Balanced Score Card,,
BSE,Broker Security Enhancement,,
BSN,Bachelor [or Baccalaureate] of Science in Nursing,,
BSOD,Blue Screen of Death,,
BTA,Business Transformation Agency,,
BTE,Behind the Ear,,
BTL,Bilateral Tubal Ligation,,
BTP,Beneficiary Travel Program,,
BTRF,Blood Transfusion Request Form,,
BTS,Business Transaction Service,VLER,
BTSSS,Beneficiary Travel Self-service System,,
BTT,Budget Tracking Tool,,
BUM,Bed Utilization Management,,
BUPD,BIRLS Update,,
BURR,Building Utilization Review and Repurposing,,
BVA,Blinded Veterans of America,,
BVA,Board of Veterans' Appeals,,
BVAC,Behavioral VA Center,,
BVAMC,Birmingham VA Medical Center,,
BVAMC,Boise VA Medical Center,,
BVM,Bag Valve Mask,,
BVO,Buyer Value Option,,
BX,Biopsy,,
C & P,Compensation and Pension Examinations,,
C32,Construct 32,,
C3PO,"Chief, Policy, Planning and Performance Office",,
C4,Colorectal Cancer Care Continuum,,
CAAD,Central Acquisition Analysis Division,,
CAATS,Centralized Administrative Accounting Transactions System,disability exams,the program used to request exams with the contracted company QTC
CAB,Clinical Advisory Board,,
CAB,Combat Action Badge,,
CABG,Coronary Artery Bypass Graft,,
CABIG,Cancer Biomedical Informatics Grid,,
CA,Cancer,,
CAC,Clinical Application Coordinator,,
CAC,Common Access Card,,
CA,Certificate Authority,,
C&A,Certification and Authority,,
CA,Claims Assistant,,
CACP,Computer Application Change Plan,,
CA,Customer Advocacy,,
CAD,Computer-Aided Design,,
CAD,Coronary artery disease,,
CADHC,Contract Adult Day Health Care,,
CADRE,Comprehensive Access & Delivery Research & Evaluation,,
CA&E,Corporate Analysis and Evaluation,,
CAF,Customer Acceptance Form,,
CAG-20,Consensus Audit Guidelines - 20 Critical Security Controls for Effective Cyber Defense,,
CAG,Citrix Access Gateway,,
CAH,Critical Access Hospital,,
CAI,Center for Acquisition Innovation,,
CAIA,"Content, Accessibility, and Information Architecture",Shared services contract in OCTO to support VA.gov teams,
CAIP,Cross-Application Integration Protocol,,
CAIRO,Center for Applied Informatics Research and Operations,,
CALM,Centralized Accounting for Local Management,,
CAMPS,Capital Asset Management and Planning Service,,
CAMS,Capital Asset Management System,,
CANX,Canceled or Cancel,,
CAO,Chief Acquisition Officer,,
CAO,Chief Administrative Officer,,
CAO,Competency Aligned Organization,,
CAO,Contract Administration Office,,
CAPA,Corrective and Preventative Action,,
CAP,Capital Assessment Process,,
CAP,College of American Pathologists,,
CAP,Combined Assessment Program,,
CAP,Corrective Action Plan,,
CAPE,Cost Assessment and Program Evaluation,,
CAPER,Compensation And Pension Evaluation Redesign,,
CAPOC,Computer Assisted Practice of Cardiology (DoD),,
CAPPS,"Capital Asset Policy, Planning, and Strategy Service",,
CAPPS,Computer Assisted Payments Processing System,,
CAPRES,Capital Resource (Survey),,
CAPRI,Compensation and Pension Record Interchange,claims processing,ancient Delphi program
CAPS,Capabilities Assessment Program Survey,,
CAPS,Computerized Accounts Payable System,,
CARA,Criticality Analysis and Risk Assessment,,
CAR,"Collection, Analysis, and Reporting tool",,
CAR,Combat Action Ribbon,,
CARD,Cost Analysis Requirements Description,,
CARDS,Cardiology,,
CARE,Continuity Assessment Records and Evaluation,,
CARES,Capital Asset Realignment for Enhanced Services,,
CARF,Commission on Accreditation of Rehabilitation Facilities,,
CARF,Computer Access Request Form,,
CARG,Clinical Application Requirements Group,,
CARMA,Caregiver Record Management Application,"CARMA is a Salesforce application that the VA's Caregivers Program uses to intake, track, and process Form 10-10CG submissions",
CAROLS,Centralized Accounts Receivable Online System,,
CARS,Centralized Accounts Receivable System,,
CART,Cardiovascular Assessment Reporting and Tracking,,
CART-CL,Cardiovascular Assessment Reporting and Tracking - Catheterization Lab,,
